
Name,Franchise,US release Date,Director,Producer,Duration,Genre,IMDB rating,metascore,Cast,Budget,Domestic Gross,Total Gross,Opening Gross,Oscar Nomination,Oscar won,Phase
Avengers : Age of Ultron,Avengers,1-May-15,Joss Whedon,Kevin Feige,2h 21min,"Action , Adventure, Sci-Fi",7.3,66,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo","$250,000,000 ","$459,005,868 ","$1,402,805,868 ","$191,271,109 ",0,0,2
Ant-Man,Ant-Man,17-Jul-15,Peyton Reed,Kevin Feige,1h 57min,"Action, Adventure , Comedy",7.3,64,"Paul Rudd , Michael Douglas , Corey Stall","$130,000,000 ","$180,202,163 ","$519,311,965 ","$57,225,526 ",0,0,2
Captain America: Civil War,Captain America,6-May-16,Anthony and Joe Russo,Kevin Feige,2h 27min,"Action , Adventure, Sci-Fi",7.8,75,"Robert Downey Jr. , Chris Evans , Scarlett Johansson , Sebastian Stan","$250,000,000 ","$408,084,349 ","$1,153,296,293 ","$179,139,142 ",0,0,3
Doctor Strange ,Doctor Strange,4-Nov-16,Scott Derrickson,Kevin Feige,1h 55min,"Action , Adventure, Fantasy",7.5,72,"Benedict Cumberbatch , Chiswetel Ejiofor , Racheal McAdams","$165,000,000 ","$232,641,920 ","$677,718,395 ","$85,058,311 ",1,0,3
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,5-May-17,James Gunn,Kevin Feige,2h 16min,"Action, Adventure , Comedy",7.6,67,"Chris Patt ,  Zoe Saldana , Dave Bautista , Vin Diesel","$200,000,000 ","$389,813,101 ","$863,756,051 ","$146,510,104 ",1,0,3
Spider-Man:Homecoming,Spider-Man,7-Jul-17,Jon Watts,Kevin Feige and Amy Pascal,2h 13min,"Action , Adventure, Sci-Fi",7.4,73,"Tom Holland , Michael Keaton , Robert Downey Jr.","$175,000,000 ","$334,201,140 ","$880,166,924 ","$117,027,503 ",0,0,3
Thor:Ragnarok,Thor,3-Nov-17,Taika Waititi,Kevin Feige,2h 10min,"Action, Adventure , Comedy",7.9,74,"Chris Hemsworth ,  Cate Blanchett , Tom Hiddleston","$180,000,000 ","$315,058,28","$853,977,126 ","$122,744,989 ",0,0,3
Black Panther,Black Panther,16-Feb-18,Ryan Coogler,Kevin Feige,2h 14min,"Action , Adventure, Sci-Fi",7.3,88,"Chadwick Boseman , Michael B. Jordan , Lupita Nyong'o","$200,000,000 ","$700,059,56","$1,346,913,161 ","$202,003,951 ",7,3,3
Avengers: Infinity War,Avengers,27-Apr-18,Anthony and Joe Russo,Kevin Feige,2h 29min,"Action , Adventure, Sci-Fi",8.4,68,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo , Josh Brolin","$300,000,000 ","$678,815,482 ","$2,048,359,754 ","$257,698,183 ",1,0,3
Ant-Man and the Wasp,Ant-Man,6-Jul-18,Peyton Reed,Kevin Feige and Stephen Broussard,1h 58min,"Action, Adventure , Comedy",7,70,"Paul Rudd , Evangeline Lilly , Micheal Pena","$130,000,000 ","$216,648,740 ","$622,674,139 ","$75,812,205 ",0,0,3
Captain-Marvel,Captain Marvel,8-Mar-19,Anna Boden and Ryan Fleck,Kevin Feige,2h 3min,"Action , Adventure, Sci-Fi",6.8,64,"Brie Larson , Samuel L. Jackson , Ben Mendelsohn","$160,000,000 ","$426,829,839 ","$1,128,274,794 ","$153,433,423 ",0,0,3
Avengers:Endgame,Avengers,26-Apr-19,Anthony and Joe Russo,Kevin Feige,3h 1min,"Action , Adventure , Drama",8.4,78,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo , Josh Brolin","$356,000,000 ","$858,373,000 ","$2,797,501,328 ","$357,115,007 ",1,0,3
Spider-Man:Far From Home,Spider-Man,2-Jul-19,Jon Watts,Kevin Feige and Amy Pascal,2h 9min,"Action , Adventure, Sci-Fi",7.5,69,"Tom Holland , Samuel L. Jackson , Jake Gyllenhaal","$160,000,000 ","$390,532,085 ","$1,131,927,996 ","$92,579,212 ",0,0,3
